วันที่,Unnamed: 1,กะ,เวลารูดเข้า,เวลารูดออก,Remark,OT Fix,OT วันทำงาน,OT วันหยุด,ทำงานวันหยุด,ทำงานวันหยุดประเพณี,กลับก่อนเวลา,มาทำงานสาย,ประเภทการลา,จำนวนวันลา,จำนวนนาที ที่ลา
18-May-24,H,,,,,,,,,,,,,,
19-May-24,H,,,,,,,,,,,,,,
20-May-24,,,07:52,17:03,,,,,,,,,,,
21-May-24,,,07:50,17:05,,,,,,,,,,,
22-May-24,T,,,,,,,,,,,,,,
23-May-24,,,07:55,17:08,,,,,,,,,,,
24-May-24,,,07:53,17:41,,,,,,,,,,,
25-May-24,,,,,,,,,,,,,,,
26-May-24,H,,,,,,,,,,,,,,
27-May-24,,,07:54,17:04,,,,,,,,,,,
28-May-24,,,07:56,17:06,,,,,,,,,,,
29-May-24,,,07:53,,,,,,,,,,,,
30-May-24,,,,,,,,,,,,,,,
31-May-24,,,,,,,,,,,,,,,
01-Jun-24,H,,,,,,,,,,,,,,
02-Jun-24,H,,,,,,,,,,,,,,
03-Jun-24,T,,,,,,,,,,,,,,
04-Jun-24,,,,,,,,,,,,,,,
05-Jun-24,,,,,,,,,,,,,,,
06-Jun-24,,,,,,,,,,,,,,,
07-Jun-24,,,,,,,,,,,,,,,
08-Jun-24,,,,,,,,,,,,,,,
09-Jun-24,H,,,,,,,,,,,,,,
10-Jun-24,,,,,,,,,,,,,,,
11-Jun-24,,,,,,,,,,,,,,,
12-Jun-24,,,,,,,,,,,,,,,
13-Jun-24,,,,,,,,,,,,,,,
14-Jun-24,,,,,,,,,,,,,,,
15-Jun-24,H,,,,,,,,,,,,,,
16-Jun-24,H,,,,,,,,,,,,,,
17-Jun-24,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
